Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
001,0.0009694699078236927,3.0252540130126904,0.013628207725448404,0.001830740132903947,6.229380483621741,0.019669791350007126,False,50,2011.9113183021545
002,0.0011121450174818004,3.0640951106575707,0.013932018465408022,0.001811254103865089,4.413825129565417,0.019290668644642683,False,50,2044.9953322410583
003,0.001081269836454337,3.1800096070547186,0.01362202999014051,0.0017472333250258321,5.079886655173473,0.019739686825350027,False,50,2018.633906364441
004,0.00019660215114658078,3.184081506088562,0.010418026825694714,0.00021325405556482866,3.359245551869126,0.010577130902878686,True,87,1612.9075782299042
005,0.0007619678240026122,8.081142216598742,0.019677684057558962,0.0008269646692986873,6.511229266300464,0.01995889370672485,True,49,1680.645473241806
006,0.0008044113378635562,7.9396137867929735,0.019631652878208727,0.0008186906585028912,6.867747313913791,0.019742838373622833,True,49,1692.3493130207062
007,0.0010029898254776241,17.86959583773983,0.021314016153437462,0.001012976083827138,12.053855090938656,0.02117099627991841,True,49,1657.4872155189514
008,0.0009107317096889811,9.80825550768245,0.02064047156371613,0.0008688215517713205,7.320300132961729,0.020049152616990508,True,49,1717.4885580539703
009,0.000785537698863413,5.860333368026043,0.019127290569332944,0.0008301739804863949,5.438602047858099,0.0198748419481733,True,72,2562.5768625736237
010,0.0008173819542556108,7.145039552803484,0.0205102746127184,0.0008543376388116712,6.425583465557364,0.02076191690148519,True,49,3573.8466901779175
011,0.00021215045673322105,1.7653254179664675,0.007037824544141124,0.0002386860297428312,3.1102567753805124,0.007271360574816962,True,92,7186.895599365234
012,0.0002057781006246649,8.039300291624487,0.006784984522957817,0.00023289144859850097,8.851164568872672,0.006599549944887452,True,92,8501.370751142502
013,0.0003387119500124605,6.148678580999862,0.012091727615501533,0.00023103587457201543,5.3170308723221975,0.009439207734958696,True,3,1557.1566655635834
014,0.000274576872036848,8.015495254598019,0.010329322261177021,0.0004163821231621928,9.80956263410398,0.013594701939902424,True,3,1262.6565794944763
015,4.9620291334787284e-05,4.3893212067637695,0.005600170220115308,4.863103697178856e-05,2.6399564474438892,0.005575423292504613,True,57,3130.265369653702
016,0.0002151299460382831,4.869011417287385,0.009669189216047074,0.00023780468730392887,10.38541460609274,0.009638970732048228,True,3,1113.5585486888885
017,0.00024488947737254967,6.843556752993879,0.010108206710097826,0.00023780715409899228,5.4801081501778155,0.009920979975624033,True,3,1102.6875953674316
018,0.00024524455034847647,5.454612496492202,0.010220933241781971,0.00041420624937830145,7.1641805611874165,0.013467479682325978,True,3,1266.6829760074615
