Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
101,6.858421882528773e-05,0.02962368747790444,0.006475034807747375,6.728820825772523e-05,0.02853680708187961,0.006324995661532169,False,50,224.19793248176575
101,6.415927517241268e-05,0.028710969945326386,0.006290488268403735,6.419956076803194e-05,0.027817113504697833,0.0061491539729337415,False,50,101.27449679374695
102,0.012477805088865455,0.008565676425949758,0.08184339100121538,0.07141463986845509,0.01839475715571195,0.14486440882381307,True,100,297.4272105693817
103,0.004207680195571952,2.7354182936693587,0.0511736008923885,0.005757889924800771,0.21595195916030363,0.05972796792518072,True,100,161.6053273677826
104,508.96832906997025,2.3059055953511973,12.141889858070382,397.6646182349833,1.6678498791449219,11.665710001762458,True,2,58.71206593513489
105,12780.209171795417,0.4084177338918652,67.10405655175553,11991.411079928692,1.1616315932218935,67.1442448415382,True,68,308.82378339767456
106,9987.034035068238,1.0551366664485886,78.69511134691462,10072.052675471097,1.2478178277116208,79.52040008974184,True,36,292.0769798755646
107,0.0010917284793850565,0.3068594820123183,0.023450996434017962,0.0012375112445472199,0.27997533467619135,0.024027023333822194,True,81,149.00976157188416
108,5292.741429166656,0.23779185818918122,57.62370958154545,5205.757666211104,0.17784538961124907,56.9228038178661,True,100,488.19652676582336
109,2721.6651913132455,7071698743190.106,17.297559893417606,3548.6268701073013,5255927952288.179,25.24272392845218,False,50,244.32929062843323
110,2721.6651913132455,7071698743190.106,17.297559893417606,3548.6268701073013,5255927952288.179,25.24272392845218,False,50,245.46223163604736
111,2721.6651913132455,7071698743190.106,17.297559893417606,3548.6268701073013,5255927952288.179,25.24272392845218,False,50,245.92466139793396
112,274788.88977963675,0.13500905808592706,325.8808180154088,260079.33167564232,0.11212952876047108,318.4226591030839,True,87,264.70423102378845
113,0.8061151479371521,0.05194921253790484,0.6172969972090288,0.8250282513009113,0.04731873921173755,0.6215172742529761,True,49,182.29513597488403
114,0.8061151479371521,0.05194921253790484,0.6172969972090288,0.8250282513009113,0.04731873921173755,0.6215172742529761,True,49,177.1099874973297
